,t,Q,TG,DG,MG,G,ME
234,234.0,6.0,0.04033521,0.04923139,0.041231625,0.54791015,1.7125033
235,235.0,6.0,0.040254578,0.049140323,0.04114838,0.54828036,1.7132004
236,236.0,6.0,0.0401749,0.04905085,0.041067496,0.5486476,1.713892
237,237.0,6.0,0.04009616,0.048963036,0.040988907,0.5490122,1.7145777
238,238.0,6.0,0.04001834,0.04887681,0.040912714,0.54937387,1.715258
239,239.0,6.0,0.039941326,0.048792128,0.040838785,0.5497329,1.7159323
240,240.0,6.0,0.039865226,0.048709016,0.04076727,0.5500892,1.7166008
241,0.0,6.0,0.6213718,0.04169477,0.0015231427,0.00014832057,2.3573637e-05
242,1.0,6.0,0.61363894,0.048899364,0.0020987298,0.00018511713,0.008399531
243,2.0,6.0,0.60553426,0.056326266,0.002806848,0.00023300946,0.017300174
244,3.0,6.0,0.59709513,0.063924775,0.0036590006,0.00029681996,0.02671045
245,4.0,6.0,0.58835953,0.07164478,0.004665939,0.00038117915,0.036613405
246,5.0,6.0,0.57936466,0.07943861,0.005837595,0.00049076416,0.046991795
247,6.0,6.0,0.57014394,0.08726174,0.007182328,0.00063059106,0.057830617
248,7.0,6.0,0.5607277,0.09507346,0.008707201,0.0008057654,0.069117695
249,8.0,6.0,0.5511421,0.1028368,0.010417847,0.0010216068,0.08084315
250,9.0,6.0,0.54140973,0.11051817,0.012318587,0.0012841988,0.09300055
251,10.0,6.0,0.5315509,0.118086696,0.014412126,0.0015997291,0.10558485
252,11.0,6.0,0.52158326,0.12551385,0.016699834,0.0019750707,0.118592426
253,12.0,6.0,0.51152414,0.13277306,0.019181868,0.0024175346,0.13202056
254,13.0,6.0,0.5013896,0.1398393,0.021856746,0.0029347502,0.1458659
255,14.0,6.0,0.4911959,0.14668913,0.024721628,0.003534956,0.1601252
256,15.0,6.0,0.48095948,0.15330055,0.027772097,0.0042267386,0.17479439
257,16.0,6.0,0.47069672,0.1596532,0.031002207,0.005018985,0.18986863
258,17.0,6.0,0.4604247,0.16572846,0.03440448,0.0059207603,0.20534176
259,18.0,6.0,0.4501602,0.17150937,0.03796968,0.006941363,0.22120655
260,19.0,6.0,0.43992034,0.17698103,0.041687056,0.008090157,0.23745441
261,20.0,6.0,0.4297218,0.18213035,0.04554417,0.009376511,0.2540756
262,21.0,6.0,0.41958156,0.18694626,0.049527027,0.010809926,0.27105874
263,22.0,6.0,0.4095157,0.19141974,0.05362036,0.012399429,0.288391
264,23.0,6.0,0.39954028,0.19554354,0.057807364,0.0141540505,0.30605817
265,24.0,6.0,0.38967043,0.19931255,0.062070288,0.016082577,0.32404482
266,25.0,6.0,0.37992075,0.20272352,0.0663904,0.01819312,0.34233415
267,26.0,6.0,0.3703048,0.20577534,0.07074831,0.020493377,0.3609082
268,27.0,6.0,0.36083528,0.2084686,0.07512416,0.022990335,0.37974814
269,28.0,6.0,0.35152367,0.21080628,0.07949795,0.025690231,0.39883444
270,29.0,6.0,0.3423803,0.21279317,0.083849706,0.028598398,0.41814694
271,30.0,6.0,0.33341423,0.21443607,0.088159606,0.031718988,0.43766472
272,31.0,6.0,0.32463312,0.21574368,0.09240818,0.03505538,0.4573669
273,32.0,6.0,0.3160436,0.21672656,0.09657645,0.03860993,0.47723243
274,33.0,6.0,0.30765072,0.21739678,0.100645915,0.042383768,0.4972396
275,34.0,6.0,0.29945868,0.21776806,0.104598746,0.046377055,0.517367
276,35.0,6.0,0.2914705,0.21785511,0.10841782,0.050589077,0.537593
277,36.0,6.0,0.28368834,0.21767373,0.11208668,0.055017978,0.5578953
278,37.0,6.0,0.27611333,0.21724023,0.115589924,0.0596613,0.5782528
279,38.0,6.0,0.2687463,0.21657166,0.118912846,0.06451546,0.59864295
280,39.0,6.0,0.2615871,0.215685,0.1220422,0.06957591,0.6190441
281,40.0,6.0,0.2546353,0.2145971,0.1249659,0.07483761,0.63943446
282,41.0,6.0,0.24788992,0.21332477,0.12767327,0.080294326,0.6597922
283,42.0,6.0,0.24134962,0.21188422,0.13015547,0.085939124,0.68009603
284,43.0,6.0,0.2350127,0.21029119,0.13240539,0.09176398,0.7003249
285,44.0,6.0,0.22887719,0.20856068,0.1344179,0.097760394,0.7204584
286,45.0,6.0,0.22294067,0.20670696,0.13618988,0.1039186,0.7404765
287,46.0,6.0,0.2172005,0.20474347,0.13772021,0.11022833,0.7603601
288,47.0,6.0,0.21165365,0.20268281,0.13900995,0.11667845,0.7800909
289,48.0,6.0,0.20629703,0.20053686,0.14006197,0.12325712,0.79965127
290,49.0,6.0,0.20112695,0.19831648,0.14088091,0.12995216,0.8190249
291,50.0,6.0,0.19613959,0.19603194,0.1414732,0.13675055,0.8381959
292,51.0,6.0,0.19133104,0.19369261,0.14184672,0.14363924,0.8571497
293,52.0,6.0,0.18669689,0.19130723,0.14201048,0.1506047,0.87587273
294,53.0,6.0,0.1822327,0.18888374,0.14197466,0.15763369,0.8943528
295,54.0,6.0,0.17793374,0.18642968,0.14175019,0.1647124,0.91257787
296,55.0,6.0,0.17379524,0.1839517,0.14134857,0.17182776,0.9305378
297,56.0,6.0,0.16981214,0.18145622,0.14078186,0.17896646,0.94822335
298,57.0,6.0,0.16597943,0.17894892,0.14006227,0.1861158,0.96562576
299,58.0,6.0,0.16229187,0.17643504,0.13920203,0.19326356,0.98273826
300,59.0,6.0,0.15874429,0.17391954,0.13821341,0.20039779,0.9995544
301,60.0,6.0,0.15533133,0.17140679,0.13710843,0.20750728,1.0160688
302,61.0,6.0,0.15204775,0.16890095,0.13589898,0.2145814,1.0322773
303,62.0,6.0,0.14888828,0.16640575,0.1345964,0.22161019,1.0481769
304,63.0,6.0,0.14584763,0.16392463,0.13321179,0.22858414,1.0637647
305,64.0,6.0,0.14292066,0.1614608,0.13175577,0.23549482,1.0790398
306,65.0,6.0,0.14010215,0.1590171,0.13023835,0.24233428,1.0940013
307,66.0,6.0,0.13738714,0.15659614,0.12866913,0.24909505,1.1086493
308,67.0,6.0,0.13477065,0.15420033,0.12705718,0.25577068,1.1229848
309,68.0,6.0,0.1322479,0.15183195,0.12541099,0.2623553,1.1370094
310,69.0,6.0,0.12981427,0.14949282,0.12373839,0.26884368,1.1507251
311,70.0,6.0,0.1274652,0.14718486,0.12204691,0.27523094,1.1641347
312,71.0,6.0,0.12519644,0.1449096,0.12034335,0.28151318,1.1772414
313,72.0,6.0,0.12300381,0.14266856,0.11863401,0.28768697,1.1900486
314,73.0,6.0,0.12088339,0.14046304,0.116924755,0.29374927,1.2025601
315,74.0,6.0,0.11883134,0.13829416,0.11522083,0.2996975,1.2147804
316,75.0,6.0,0.11684418,0.13616298,0.113527074,0.30552965,1.2267139
317,76.0,6.0,0.114918485,0.13407032,0.11184778,0.3112443,1.238365
318,77.0,6.0,0.11305125,0.13201694,0.11018689,0.31684017,1.2497386
319,78.0,6.0,0.11123945,0.13000347,0.108547725,0.32231647,1.2608392
320,79.0,6.0,0.10948028,0.1280304,0.106933385,0.3276728,1.2716721
321,80.0,6.0,0.10777129,0.12609825,0.10534651,0.332909,1.282242
322,81.0,6.0,0.10610998,0.124207094,0.10378927,0.33802515,1.292554
323,82.0,6.0,0.10449429,0.122357294,0.102263585,0.34302187,1.3026129
324,83.0,6.0,0.10292216,0.12054883,0.10077095,0.3478998,1.3124241
325,84.0,6.0,0.10139169,0.11878173,0.099312656,0.35265973,1.3219918
326,85.0,6.0,0.099901214,0.11705588,0.09788961,0.35730276,1.3313209
327,86.0,6.0,0.09844918,0.11537109,0.096502475,0.36183044,1.3404167
328,87.0,6.0,0.09703411,0.11372705,0.095151655,0.36624405,1.3492837
329,88.0,6.0,0.09565469,0.11212343,0.09383733,0.37054527,1.3579267
330,89.0,6.0,0.09430975,0.110559806,0.092559524,0.3747358,1.36635
331,90.0,6.0,0.09299818,0.1090357,0.09131796,0.37881762,1.3745586
332,91.0,6.0,0.09171889,0.10755049,0.09011228,0.3827927,1.382557
333,92.0,6.0,0.090471044,0.10610366,0.088942006,0.38666302,1.3903499
334,93.0,6.0,0.089253716,0.10469453,0.08780643,0.39043093,1.3979415
335,94.0,6.0,0.088066116,0.10332231,0.08670482,0.3940987,1.4053367
336,95.0,6.0,0.086907476,0.10198642,0.08563634,0.39766827,1.4125391
337,96.0,6.0,0.0857771,0.10068597,0.08460006,0.40114224,1.4195539
338,97.0,6.0,0.08467436,0.099420205,0.083594985,0.40452296,1.4263852
339,98.0,6.0,0.08359866,0.09818843,0.08262018,0.40781265,1.4330372
